"","cbsa_code","name","fatality_overall","fatality_children","tot_pop","rate_overall","child_pop","rate_children"
"149","25740","Helena, MT",107,11,602901,17.7475240545297,125308,8.77837009608325
"150","25860","Hickory-Lenoir-Morganton, NC",407,21,2582510,15.7598615300618,523808,4.00910257193476
"151","25940","Hilton Head Island-Bluffton-Port Royal, SC",282,20,1575581,17.8981594726009,279795,7.14809056630748
"152","25980","Hinesville, GA",92,8,587186,15.6679484865102,167770,4.76843297371401
"153","26140","Homosassa Springs, FL",210,6,1100715,19.0785080606697,162252,3.69795133496043
"154","26300","Hot Springs, AR",138,4,697303,19.7905358215869,137359,2.91207711180192
"155","26380","Houma-Bayou Cane-Thibodaux, LA",269,14,1432469,18.7787658930141,341373,4.10108590896175
"156","26420","Houston-Pasadena-The Woodlands, TX",5272,282,50809344,10.3760442173786,13241884,2.12960633094203
"157","26580","Huntington-Ashland, WV-KY-OH",357,23,2510007,14.2230679037947,523905,4.390108893788
"158","26620","Huntsville, AL",475,28,3476709,13.6623456262805,756576,3.70088398257412
"159","26820","Idaho Falls, ID",139,11,1114000,12.4775583482944,337977,3.25465934072437
"160","26900","Indianapolis-Carmel-Greenwood, IN",1587,69,14736667,10.7690565308967,3584609,1.92489613232573
"161","26980","Iowa City, IA",78,4,1237026,6.30544547972314,249471,1.60339277912062
"162","27060","Ithaca, NY",45,6,728874,6.17390660114094,99565,6.026214031035
"163","27100","Jackson, MI",158,11,1115746,14.1609291003508,234804,4.68475835164648
"164","27140","Jackson, MS",910,61,4139478,21.9834481545741,970793,6.28352285193651
"165","27180","Jackson, TN",253,21,1164972,21.7172601573257,264757,7.93180161431048
"166","27260","Jacksonville, FL",1697,92,11386317,14.9038534584976,2520612,3.6499072447485
"167","27340","Jacksonville, NC",169,8,1429602,11.8214719901063,351007,2.27915682593225
"168","27500","Janesville-Beloit, WI",144,5,1146972,12.5547964553625,258645,1.93315161708133
"169","27620","Jefferson City, MO",137,6,1052022,13.0225413536979,228274,2.62842023182666
"170","27740","Johnson City, TN",186,11,1457141,12.7647221511165,266663,4.12505671952989
"171","27780","Johnstown, PA",80,1,919360,8.70170553428472,175631,0.569375565816969
"172","27860","Jonesboro, AR",172,11,942593,18.2475363173713,232059,4.74017383510228
"173","27900","Joplin, MO-KS",283,16,1315518,21.5124384463002,317998,5.03147818539739
"174","27980","Kahului-Wailuku, HI",121,4,1157797,10.4508821494614,245660,1.62826671008711
"175","28020","Kalamazoo-Portage, MI",227,13,1992998,11.389875955721,428346,3.03492970635888
"176","28100","Kankakee, IL",119,2,754516,15.771700003711,170121,1.17563381357975
"177","28140","Kansas City, MO-KS",1753,100,15307281,11.4520665035155,3636974,2.74953848996446
"178","28420","Kennewick-Richland, WA",194,14,2139575,9.06722129394856,594262,2.35586323877347
"179","28450","Kenosha, WI",103,2,336242,30.6326990679332,70910,2.82047666055563
"180","28660","Killeen-Temple, TX",459,32,3348832,13.7062713208665,879704,3.63758718841792
"181","28700","Kingsport-Bristol, TN-VA",325,6,2164733,15.0133988810629,408826,1.46761703022802
"182","28740","Kingston, NY",116,4,1266169,9.1614942397105,217066,1.84275750232648
"183","28880","Kiryas Joel-Poughkeepsie-Newburgh, NY",406,22,1416350,28.6652310516468,316411,6.95298203918321
"184","28940","Knoxville, TN",1012,43,6334066,15.9770990703286,1293756,3.32365608352734
"185","29020","Kokomo, IN",84,7,582447,14.4219130667683,131750,5.31309297912714
"186","29100","La Crosse-Onalaska, WI-MN",99,7,1029664,9.61478695962955,205916,3.39944443365256
"187","29180","Lafayette, LA",448,26,3264458,13.7235645243406,801593,3.24354129838958
"188","29200","Lafayette-West Lafayette, IN",174,10,1583805,10.9862009527688,325729,3.07003674833988
"189","29340","Lake Charles, LA",343,18,1528790,22.4360441918118,376559,4.78012741695193
"190","29420","Lake Havasu City-Kingman, AZ",404,20,1517600,26.6209804955192,249598,8.01288471862755
"191","29460","Lakeland-Winter Haven, FL",945,53,5331401,17.7251720513989,1173162,4.51770514217133
"192","29540","Lancaster, PA",364,26,3864347,9.41944395780193,897196,2.89791751189261
"193","29620","Lansing-East Lansing, MI",334,25,3544239,9.42374371480027,714491,3.4989943890126
"194","29700","Laredo, TX",181,17,1905052,9.50105298962968,605001,2.80991271088808
"195","29740","Las Cruces, NM",176,10,1550717,11.349588609656,364067,2.74674716467024
"196","29820","Las Vegas-Henderson-North Las Vegas, NV",1663,87,16053346,10.3592110953069,3615301,2.40643863401692
"197","29940","Lawrence, KS",56,4,846357,6.61659323429711,150828,2.65202747500464
"198","30020","Lawton, OK",85,6,887823,9.57398039924625,209249,2.8673972157573
"199","30140","Lebanon, PA",128,7,999936,12.8008192524322,224208,3.12210090630129
"200","30300","Lewiston, ID-WA",67,4,450198,14.8823406589989,93799,4.26443778718323
"201","30340","Lewiston-Auburn, ME",82,6,776701,10.5574732104117,161448,3.71636687973837
"202","30460","Lexington-Fayette, KY",480,29,3635576,13.2028597394196,790085,3.67049114968643
"203","30500","Lexington Park, MD",165,11,421391,39.1560332327933,97634,11.2665669746195
"204","30620","Lima, OH",90,8,712701,12.6280165174456,164378,4.86683132779326
"205","30700","Lincoln, NE",188,11,2381900,7.89285864226038,535628,2.05366411016601
"206","30780","Little Rock-North Little Rock-Conway, AR",906,38,5267081,17.2011784136223,1221253,3.11155837488219
"207","30860","Logan, UT-ID",91,4,1046360,8.6968156275087,308449,1.29681081799584
"208","30980","Longview, TX",523,40,1891630,27.6481130030714,461359,8.67003786639038
"209","31020","Longview-Kelso, WA",106,2,776816,13.6454449959836,175510,1.13953620876303
"210","31080","Los Angeles-Long Beach-Anaheim, CA",7015,266,91456581,7.670306415675,19228144,1.38338884917858
"211","31140","Louisville/Jefferson County, KY-IN",1389,67,9188682,15.1164225729,2045273,3.27584630511428
"212","31180","Lubbock, TX",457,27,2342579,19.5084135903208,557198,4.84567424865129
"213","31340","Lynchburg, VA",274,16,1850728,14.8049848492053,361877,4.42139179887089
"214","31420","Macon-Bibb County, GA",406,25,1625219,24.981248680947,380041,6.57823761120511
"215","31540","Madison, WI",385,22,4751728,8.10231562075944,952614,2.30943488128455
"216","31700","Manchester-Nashua, NH",190,6,2950458,6.43967817877767,585896,1.02407253164384
"217","31740","Manhattan, KS",91,7,861072,10.5682219373061,187355,3.73622267887166
"218","31860","Mankato, MN",43,3,721638,5.95866625648871,146206,2.05189937485466
"219","31900","Mansfield, OH",96,7,863273,11.1204682643845,186317,3.75703773676047
"220","32580","McAllen-Edinburg-Mission, TX",449,39,6177321,7.26852303773756,1945865,2.00425003790088
"221","32780","Medford, OR",202,5,1545464,13.0705082745376,314087,1.59191561573704
"222","32820","Memphis, TN-MS-AR",2048,138,9382194,21.8285829519193,2314907,5.96136259469603
"223","32900","Merced, CA",421,30,1990287,21.1527282246229,573538,5.23069090452594
"224","33100","Miami-Fort Lauderdale-West Palm Beach, FL",5208,214,43396368,12.0010043236798,8680766,2.46522023517279
"225","33140","Michigan City-La Porte, IN",141,11,777043,18.1457139437586,164754,6.67662090146522
"226","33220","Midland, MI",67,3,584968,11.4536179756841,123300,2.4330900243309
"227","33260","Midland, TX",403,21,1248486,32.2790964416101,359510,5.84128396984785
"228","33340","Milwaukee-Waukesha, WI",873,58,10988683,7.94453712059944,2489205,2.33006120428008
"229","33460","Minneapolis-St. Paul-Bloomington, MN-WI",1396,82,25724064,5.4268252481412,5980800,1.37105403959337
"230","33500","Minot, ND",57,2,533583,10.6824992550362,125536,1.59316849349987
"231","33540","Missoula, MT",131,7,848758,15.4343169666737,154808,4.52173014314506
"232","33660","Mobile, AL",548,24,2939224,18.6443768831501,684227,3.50760785528779
"233","33700","Modesto, CA",607,26,3861050,15.72111213271,1030121,2.52397533881942
"234","33740","Monroe, LA",318,19,1407677,22.5904095896999,334506,5.68001769773935
"235","33780","Monroe, MI",146,11,1072561,13.6122793948316,225142,4.88580540281245
"236","33860","Montgomery, AL",485,36,2667206,18.1838223219354,617166,5.83311459153615
"237","34060","Morgantown, WV",103,1,984367,10.4635771008171,166771,0.599624634978503
"238","34100","Morristown, TN",119,5,920424,12.9288241071506,194277,2.57364484730565
"239","34580","Mount Vernon-Anacortes, WA",110,6,909058,12.1004380358569,193123,3.10682829077842
"240","34620","Muncie, IN",112,8,793265,14.1188631793915,143462,5.57638956657512
"241","34740","Muskegon-Norton Shores, MI",141,3,1227915,11.4828795152759,276823,1.08372497949954
"242","34820","Myrtle Beach-Conway-North Myrtle Beach, SC",500,16,3298785,15.1570957185752,551374,2.90184158121348
"243","34900","Napa, CA",104,0,954584,10.8947981529127,188152,0
"244","34940","Naples-Marco Island, FL",302,21,2740787,11.0187329405751,454548,4.61997412814488
"245","34980","Nashville-Davidson--Murfreesboro--Franklin, TN",1972,96,14086356,13.9993622197252,3205526,2.9948283058693
"246","35380","New Orleans-Metairie, LA",860,50,8252988,10.42046832008,1813325,2.75736561289344
"247","35620","New York-Newark-Jersey City, NY-NJ",6036,277,138341385,4.36311953939163,29293799,0.945592615010433
"248","35660","Niles, MI",141,5,1072766,13.1435932906151,229871,2.17513300938352
"249","35840","North Port-Bradenton-Sarasota, FL",847,33,6059493,13.978067141921,955560,3.45347230943112
"250","36100","Ocala, FL",681,33,2701103,25.211922684918,501020,6.58656341064229
"251","36220","Odessa, TX",339,25,1141910,29.687103186766,344423,7.25851641731243
"252","36260","Ogden, UT",270,26,4777204,5.65184153743487,1403709,1.85223575541654
"253","36420","Oklahoma City, OK",1260,59,10065906,12.517502150328,2436332,2.42167323665248
"254","36500","Olympia-Lacey-Tumwater, WA",168,7,2056193,8.17043925351365,431717,1.62143255882905
"255","36540","Omaha, NE-IA",611,63,6760638,9.03760858072862,1702552,3.70032750835217
"256","36740","Orlando-Kissimmee-Sanford, FL",2492,131,18905493,13.1813542233466,4051282,3.23354434472841
"257","36780","Oshkosh-Neenah, WI",81,7,1200724,6.74592995559346,242193,2.89025694384231
"258","36980","Owensboro, KY",92,2,827720,11.1148697627217,196477,1.01793085195723
"259","37100","Oxnard-Thousand Oaks-Ventura, CA",404,12,5888602,6.86071159164773,1304323,0.920017510999959
"260","37140","Paducah, KY-IL",147,16,691178,21.2680380451924,151196,10.5822905367867
"261","37340","Palm Bay-Melbourne-Titusville, FL",644,16,4337700,14.8465776794154,785692,2.03642139667961
"262","37460","Panama City-Panama City Beach, FL",296,16,1386812,21.3439168394851,289848,5.52013469128647
"263","37620","Parkersburg-Vienna, WV",74,2,625087,11.8383521013875,130882,1.52809400834339
"264","37860","Pensacola-Ferry Pass-Brent, FL",592,27,3593848,16.4725942777769,760638,3.54965173972376
"265","37900","Peoria, IL",279,20,2666371,10.4636601583201,611726,3.26943762403429
"266","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3552,170,43341273,8.19542148658162,9267426,1.83438206034772
"267","38060","Phoenix-Mesa-Chandler, AZ",4485,255,34762326,12.9018984517894,7949915,3.20758146470748
"268","38240","Pinehurst-Southern Pines, NC",127,8,720435,17.6282384947983,154086,5.19190581882845
"269","38300","Pittsburgh, PA",1378,57,16531062,8.33582258659486,3099822,1.83881526100531
"270","38340","Pittsfield, MA",83,1,889665,9.32935430752025,144053,0.694188944346872
"271","38540","Pocatello, ID",71,7,644610,11.0144118148958,164318,4.26003237624606
"272","38860","Portland-South Portland, ME",322,15,3862335,8.33692571980421,698248,2.14823386533152
"273","38900","Portland-Vancouver-Hillsboro, OR-WA",1370,61,17490608,7.83277516710683,3609550,1.68996135252317
"274","38940","Port St. Lucie, FL",485,21,3562234,13.6150516782446,660479,3.17951062789279
"275","39150","Prescott Valley-Prescott, AZ",376,14,1224637,30.7029756572764,187013,7.48611059124232
"276","39300","Providence-Warwick, RI-MA",726,26,11595317,6.2611483584278,2253051,1.15399074410655
"277","39340","Provo-Orem-Lehi, UT",265,35,4804511,5.51564977164169,1542145,2.2695660913857
"278","39380","Pueblo, CO",234,18,1180882,19.8156970806567,259097,6.94720510079237
"279","39460","Punta Gorda, FL",206,7,1371701,15.0178500999853,162948,4.29584898249748
"280","39540","Racine-Mount Pleasant, WI",106,3,1376972,7.69805050502116,313130,0.958068533835787
"281","39580","Raleigh-Cary, NC",914,69,10092393,9.05632588822096,2360846,2.92268110668803
"282","39660","Rapid City, SD",153,7,1032830,14.8136673024602,231318,3.02613717912138
"283","39740","Reading, PA",329,15,2990899,11.0000371125872,659786,2.2734644263443
"284","39820","Redding, CA",221,10,1264597,17.4759231597102,271663,3.68103127772277
"285","39900","Reno, NV",411,16,3549759,11.5782508051955,742918,2.15366971859613
"286","40060","Richmond, VA",1137,64,9273121,12.2612440838419,1971341,3.24652102299907
"287","40140","Riverside-San Bernardino-Ontario, CA",4794,267,32606592,14.7025484908082,8174199,3.26637509069696
"288","40220","Roanoke, VA",281,4,2200072,12.7723092698784,441132,0.906758067879909
"289","40340","Rochester, MN",118,11,1575046,7.49184468263149,375316,2.93086359227957
"290","40380","Rochester, NY",535,22,7494104,7.13894549635287,1507321,1.45954312319672
"291","40420","Rockford, IL",268,15,2354912,11.3804677202375,551228,2.72119703643501
"292","40580","Rocky Mount, NC",244,13,1018651,23.9532479720729,225021,5.77723856884469
"293","40660","Rome, GA",135,4,693755,19.4593192121138,158068,2.53055646936761
"294","40900","Sacramento-Roseville-Folsom, CA",1893,83,16745689,11.3044019866845,3739392,2.21961217224618
"295","40980","Saginaw, MI",153,7,1326690,11.5324604843633,282055,2.48178546737338
"296","41060","St. Cloud, MN",127,12,1410253,9.00547632233365,333181,3.60164595220016
"297","41100","St. George, UT",104,8,1314219,7.91344517161904,326681,2.44887214132441
"298","41140","St. Joseph, MO-KS",144,17,857239,16.7981158113432,189627,8.96496806889314
"299","41180","St. Louis, MO-IL",2473,157,19624837,12.6013785490295,4277547,3.67032787716885
"300","41420","Salem, OR",402,19,3043549,13.2082644307682,715752,2.65455073824453
"301","41500","Salinas, CA",327,8,3044719,10.7399073609092,785270,1.01875787945547
"302","41540","Salisbury, MD",122,9,2361092,5.16710064664994,450970,1.99569816174025
"303","41620","Salt Lake City-Murray, UT",596,40,8756219,6.80659083561067,2291608,1.74549923023484
"304","41660","San Angelo, TX",105,12,845366,12.420655668669,199614,6.01160239261775
"305","41700","San Antonio-New Braunfels, TX",2027,87,18267105,11.0964490541878,4493145,1.93628293767506
"306","41740","San Diego-Chula Vista-Carlsbad, CA",1951,62,23150428,8.42748997988288,4890445,1.2677782901147
"307","41780","Sandusky, OH",104,5,600422,17.3211507906106,115263,4.33790548571528
"308","41860","San Francisco-Oakland-Fremont, CA",1817,92,32606954,5.57243096058589,6291322,1.46233176429374
"309","41940","San Jose-Sunnyvale-Santa Clara, CA",909,42,13820190,6.57733359671611,2907569,1.44450570218626
"310","42020","San Luis Obispo-Paso Robles, CA",220,8,1979180,11.1157145888701,343250,2.3306627822287
"311","42100","Santa Cruz-Watsonville, CA",157,2,1879480,8.35337433758274,348345,0.574143449740918
"312","42140","Santa Fe, NM",131,5,1073750,12.2002328288708,178782,2.79670212884966
"313","42200","Santa Maria-Santa Barbara, CA",283,11,3117245,9.07852927825692,690301,1.59350775965847
"314","42220","Santa Rosa-Petaluma, CA",265,9,3434219,7.71645605594751,654901,1.37425351312641
"315","42340","Savannah, GA",350,13,2855295,12.2579278148142,637982,2.0376750441235
"316","42540","Scranton--Wilkes-Barre, PA",374,14,3943966,9.48284036931353,793129,1.76516052243708
"317","42660","Seattle-Tacoma-Bellevue, WA",1849,76,28022386,6.5982960908468,5876965,1.29318449233575
"318","42680","Sebastian-Vero Beach-West Vero Corridor, FL",175,5,1144667,15.2882890832006,177149,2.8224827687427
"319","42700","Sebring, FL",183,9,740834,24.701890032045,122612,7.34022771017519
"320","43100","Sheboygan, WI",72,5,817811,8.80399016398654,176288,2.83626792521329
"321","43300","Sherman-Denison, TX",172,10,981249,17.5286802840054,232771,4.2960678091343
"322","43340","Shreveport-Bossier City, LA",447,24,2812853,15.8913387937443,672006,3.57139668395818
"323","43420","Sierra Vista-Douglas, AZ",191,8,879574,21.7150575164796,184516,4.33566736759956
"324","43580","Sioux City, IA-NE-SD",83,5,1073214,7.73377909717913,277134,1.80418137074484
"325","43620","Sioux Falls, SD-MN",184,13,1978973,9.29775191475578,508068,2.55871261327224
"326","43640","Slidell-Mandeville-Covington, LA",227,14,553198,41.0341324444412,128639,10.8831691788649
"327","43780","South Bend-Mishawaka, IN-MI",274,19,2264968,12.0973011539236,517680,3.67022098593726
"328","43900","Spartanburg, SC",532,32,2456430,21.6574459683362,566040,5.65331072009045
"329","44060","Spokane-Spokane Valley, WA",365,20,4102978,8.89597750706925,886482,2.25610897908813
"330","44100","Springfield, IL",172,4,1446515,11.8906475218024,316240,1.26486213002783
"331","44140","Springfield, MA",304,18,4275065,7.1110029905978,837607,2.14897917519792
"332","44180","Springfield, MO",466,29,3352212,13.9012687741706,747362,3.88031502805869
"333","44220","Springfield, OH",124,9,943284,13.1455637962692,210210,4.28143285286142
"334","44300","State College, PA",80,1,1121402,7.1339269949581,163689,0.610914600248031
"335","44420","Staunton-Stuarts Draft, VA",131,4,876501,14.9457901360067,166873,2.39703247379744
"336","44700","Stockton-Lodi, CA",902,54,5459944,16.5203159592846,1442166,3.74436784669726
"337","44940","Sumter, SC",169,11,833473,20.2766016415649,191169,5.7540710052362
"338","45060","Syracuse, NY",357,24,4573995,7.80499322802058,944517,2.54098126343941
"339","45220","Tallahassee, FL",440,21,2730701,16.1130786563597,516677,4.06443484033545
"340","45300","Tampa-St. Petersburg-Clearwater, FL",3322,126,22706660,14.630068887278,4436442,2.84011376684289
"341","45460","Terre Haute, IN",187,17,1224180,15.2755313761048,254710,6.67425699815476
"342","45500","Texarkana, TX-AR",210,19,1036490,20.2606875126629,245263,7.74678610308118
"343","45780","Toledo, OH",476,25,4334493,10.98167651903,958311,2.60875644754156
"344","45820","Topeka, KS",224,16,1627135,13.7665282843771,376538,4.24923912061996
"345","45900","Traverse City, MI",153,7,1072741,14.2625293523786,201438,3.47501464470457
"346","45940","Trenton-Princeton, NJ",205,9,2652369,7.72893967619136,570064,1.57877010300598
"347","46060","Tucson, AZ",1080,46,7362059,14.6698090846596,1479094,3.11001193974149
"348","46140","Tulsa, OK",1001,60,7145414,14.0089853436064,1738221,3.451805035148
"349","46220","Tuscaloosa, AL",370,27,1835226,20.1610046936998,378984,7.12431131657273
"350","46300","Twin Falls, ID",145,6,807801,17.9499653998943,220046,2.72670259854758
"351","46340","Tyler, TX",387,30,1664107,23.2557161288307,403346,7.43778294565956
"352","46520","Urban Honolulu, HI",377,10,6927976,5.44170476341142,1440036,0.69442708376735
"353","46540","Utica-Rome, NY",176,6,2028822,8.67498479413177,426143,1.40797807308814
"354","46660","Valdosta, GA",179,14,1041612,17.1849018636498,249366,5.61423770682451
"355","46700","Vallejo, CA",335,19,3144493,10.653545738534,687185,2.76490319200797
"356","47020","Victoria, TX",123,10,694749,17.7042356304219,172764,5.78824292097891
"357","47220","Vineland, NJ",163,7,1066024,15.2904625036585,254001,2.75589466183204
"358","47260","Virginia Beach-Chesapeake-Norfolk, VA-NC",1125,34,12411418,9.06423423979436,2720222,1.2498979862673
"359","47300","Visalia, CA",555,30,3314161,16.7463198076376,995490,3.01359129674834
"360","47380","Waco, TX",335,21,1983470,16.8895924818626,473040,4.43937087772704
"361","47460","Walla Walla, WA",38,1,439410,8.64795976422931,87648,1.14092734574662
"362","47580","Warner Robins, GA",166,9,1370232,12.1147367745024,333583,2.69797921356904
"363","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",2905,140,44223484,6.56890804894522,10029683,1.39585667862085
"364","47940","Waterloo-Cedar Falls, IA",102,11,1182001,8.62943432365963,259308,4.24205963564564
